挢,撟
掴,摑
掼,摜
揿,撳
摅,攄
撄,攖
撷,擷
撸,擼
撺,攛
弑,弒
叽,嘰
呒,嘸
呓,囈
呖,嚦
呗,唄
咛,嚀
咝,噝
哒,噠
哓,嘵
哔,嗶
哕,噦
哙,噲
哜,嚌
咤,吒
哝,噥
唛,嘜
唠,嘮
唢,嗩
啧,嘖
啭,囀
喱,哩
喽,嘍
喾,嚳
嗫,囁
嗳,噯
辔,轡
嘤,嚶
噜,嚕
囵,圇
帏,幃
帱,幬
帻,幘
帼,幗
岖,嶇
岘,峴
岙,嶴
岚,嵐
峄,嶧
峤,嶠
峥,崢
崂,嶗
崃,崍
嵘,嶸
嵝,嶁
巅,巔
徕,徠
犷,獷
犸,獁
狯,獪
狲,猻
猃,獫
猡,玀
猕,獼
饧,餳
饨,飩
饩,餼
饪,飪
饫,飫
饬,飭
饴,飴
饷,餉
饽,餑
馄,餛
馊,餿
馍,饃
馐,饈
馑,饉
馔,饌
庑,廡
赓,賡
廪,廩
忏,懺
怃,憮
怄,慪
忾,愾
怅,悵
怆,愴
怿,懌
恸,慟
恹,懨
恻,惻
恺,愷
恽,惲
悭,慳
惬,愜
愠,慍
愦,憒
懔,懍
闩,閂
闫,閆
闱,闈
闳,閎
闵,閔
闶,閌
闼,闥
闾,閭
阃,閫
阄,鬮
阆,閬
阈,閾
阊,閶
阋,鬩
阌,閿
阍,閽
阏,閼
阒,闃
阕,闋
阖,闔
阗,闐
阙,闕
阚,闞
沣,灃
沩,溈
泷,瀧
泸,瀘
泺,濼
泾,涇
浃,浹
浈,湞
洇,湮
浍,澮
浏,瀏
浒,滸
浔,潯
涞,淶
涠,潿
渎,瀆
渑,澠
渌,淥
滟,灩
滠,灄
滢,瀅
潆,瀠
潇,瀟
潋,瀲
潴,瀦
濑,瀨
灏,灝
骞,騫
迩,邇
逦,邐
屦,屨
弪,弳
妩,嫵
妪,嫗
妫,媯
姗,姍
娅,婭
娆,嬈
娈,孌
姹,奼
娲,媧
娴,嫻
婵,嬋
媪,媼
嫒,嬡
嫔,嬪
嫱,嬙
嬷,嬤
驵,駔
驷,駟
驸,駙
驺,騶
驿,驛
驽,駑
骀,駘
骁,驍
骅,驊
骈,駢
骊,驪
骐,騏
骒,騍
骓,騅
骖,驂
骘,騭
骛,騖
骜,驁
骝,騮
骟,騸
骠,驃
骢,驄
骥,驥
骧,驤
纡,紆
纣,紂
纥,紇
纨,紈
纩,纊
纭,紜
纰,紕
纾,紓
绀,紺
绁,紲
绂,紱
绉,縐
绋,紼
绌,絀
绐,紿
绔,絝
绗,絎
绛,絳
绠,綆
绡,綃
绨,綈
绫,綾
绮,綺
绯,緋
绲,緄
缍,綞
绶,綬
绺,綹
绻,綣
绾,綰
缁,緇
缂,緙
缃,緗
缇,緹
缈,緲
缋,繢
缌,緦
缏,緶
缑,緱
缒,縋
缗,緡
缙,縉
缜,縝
缛,縟
缟,縞
缡,褵
缢,縊
缣,縑
缤,繽
缥,縹
缦,縵
缧,縲
缪,繆
缫,繅
缬,纈
缭,繚
缯,繒
缰,韁
缱,繾
缲,繰
缳,繯
缵,纘
幺,么
玑,璣
玮,瑋
珑,瓏
顼,頊
玺,璽
珲,琿
琏,璉
瑷,璦
璎,瓔
瓒,瓚
韪,韙
韫,韞
韬,韜
杩,榪
枥,櫪
枧,梘
枨,棖
枞,樅
枭,梟
栉,櫛
栊,櫳
栌,櫨
栀,梔
栎,櫟
柽,檉
桠,椏
桡,橈
桢,楨
桤,榿
桦,樺
桧,檜
栾,欒
棂,櫺
椟,櫝
椠,槧
椤,欏
椁,槨
榄,欖
榇,櫬
榈,櫚
榉,櫸
槟,檳
槠,櫧
樯,檣
橥,櫫
橹,櫓
橼,櫞
檐,簷
檩,檁
檗,蘗
殁,歿
殇,殤
殒,殞
殓,殮
殚,殫
殡,殯
轫,軔
轭,軛
轱,軲
轲,軻
轳,轤
轵,軹
轶,軼
轸,軫
轹,轢
轺,軺
轼,軾
轾,輊
辁,輇
辂,輅
辄,輒
辇,輦
辋,輞
辍,輟
辎,輜
辏,輳
