始,始
姉,姊
枝,枝
祉,祉
肢,肢
姿,姿
思,思
指,指
施,施
師,师
恣,恣
紙,纸
脂,脂
視,视
紫,紫
詞,词
歯,歯
嗣,嗣
試,试
詩,诗
資,资
飼,饲
誌,志
雌,雌
摯,挚
賜,赐
諮,咨
示,示
字,字
寺,寺
次,次
耳,耳
自,自
似,似
児,児
事,事
侍,侍
治,治
持,持
時,时
滋,滋
慈,慈
辞,辞
磁,磁
餌,饵
璽,玺
鹿,鹿
式,式
識,识
軸,轴
七,七
𠮟,𠮟
失,失
室,室
疾,疾
執,执
湿,湿
嫉,嫉
漆,漆
質,质
実,実
芝,芝
写,写
社,社
車,车
舎,舎
者,者
射,射
捨,舍
赦,赦
斜,斜
煮,煮
遮,遮
謝,谢
邪,邪
蛇,蛇
尺,尺
借,借
酌,酌
釈,釈
爵,爵
若,若
弱,弱
寂,寂
手,手
主,主
守,守
朱,朱
取,取
狩,狩
首,首
殊,殊
珠,珠
酒,酒
腫,肿
種,种
趣,趣
寿,寿
受,受
呪,呪
授,授
需,需
儒,儒
樹,树
収,收
囚,囚
州,州
舟,舟
秀,秀
周,周
宗,宗
拾,拾
秋,秋
臭,臭
修,修
袖,袖
終,终
羞,羞
習,习
週,周
就,就
衆,众
集,集
愁,愁
酬,酬
醜,丑
蹴,蹴
襲,袭
十,十
汁,汁
充,充
住,住
柔,柔
重,重
従,従
渋,渋
銃,铳
獣,獣
縦,縦
叔,叔
祝,祝
宿,宿
淑,淑
粛,粛
縮,缩
塾,塾
熟,熟
出,出
述,述
術,术
俊,俊
春,春
瞬,瞬
旬,旬
巡,巡
盾,盾
准,准
殉,殉
純,纯
循,循
順,顺
準,准
潤,润
遵,遵
処,处
初,初
所,所
書,书
庶,庶
暑,暑
署,署
緒,绪
諸,诸
女,女
如,如
助,助
序,序
叙,叙
徐,徐
除,除
小,小
升,升
少,少
召,召
匠,匠
床,床
抄,抄
肖,肖
尚,尚
招,招
承,承
昇,升
松,松
沼,沼
昭,昭
宵,宵
将,将
消,消
症,症
祥,祥
称,称
笑,笑
